CGPA,Branch,Role,Duration,Offer type,Gender,Company,Industry,Stpd,CTC,Details,No. of students placed,Additional Info
9,IT,SDE,PPO,PPO,M,Cisco,Technology,,24.7,24.7 lpa,1,
9.34,IT,SDE,6M + PPO,PPO,M,Code with Cisco,Technology,98,24.7,"98K pm
24.7 lpa",3,
8.91,IT,SDE,6M + PPO,PPO,M,Code with Cisco,Technology,98,24.7,,,
8.54,SE,SDE,6M + PPO,PPO,M,Code with Cisco,Technology,98,24.7,,,
9.15,IT,Software,6M + FTE,6M+FTE,M,Siemens EDA,Semiconductors,50,24,"50K pm

24 lpa",1,
8.67,ECE,Digital,6M + FTE,6M+FTE,M,Siemens EDA,Semiconductors,50,24,,2,
8.99,EE,Digital,6M + FTE,6M+FTE,M,Siemens EDA,Semiconductors,50,24,,,
8.49,CO,,6M + PPO,PPO,M,Siemens EDA,Semiconductors,50,24,,8,
8.92,CO,,6M + PPO,PPO,M,Siemens EDA,Semiconductors,50,24,,,
9.07,CO,,6M + PPO,PPO,M,Siemens EDA,Semiconductors,50,24,,,
8.53,SE,,6M + PPO,PPO,M,Siemens EDA,Semiconductors,50,24,,,
9.04,MCE,,6M + PPO,PPO,M,Siemens EDA,Semiconductors,50,24,,,
8.3,ECE,,6M + PPO,PPO,M,Siemens EDA,Semiconductors,50,24,,,
8.03,ECE,,6M + PPO,PPO,M,Siemens EDA,Semiconductors,50,24,,,
8.8,ECE,,6M + PPO,PPO,M,Siemens EDA,Semiconductors,50,24,,,
8.83,CO,Software,6M + PPO,PPO,M,Renesas,Semiconductors,45,23.1,"45K pm

23.1 lpa",6,
9.27,ECE,Software,6M + PPO,PPO,M,Renesas,Semiconductors,45,23.1,,,
8.8,ECE,Digital,6M + PPO,PPO,M,Renesas,Semiconductors,45,23.1,,,
8.09,ECE,Digital,6M + FTE,6M+FTE,M,Renesas,Semiconductors,45,23.1,,,
8.82,EE,Digital,6M + PPO,PPO,M,Renesas,Semiconductors,45,23.1,,,
9.39,EE,Digital,6M + FTE,6M+FTE,M,Renesas,Semiconductors,45,23.1,,,
8.3,ECE,Core,FTE,Full-time,M,NXP Semiconductors,Travel,,23,23 lpa,1,
8.97,CO,SDE,FTE,Full-time,M,NXP Semiconductors,Travel,,22.6,22.6 lpa,5,
8.92,CO,SDE,FTE,Full-time,M,NXP Semiconductors,Travel,,22.6,,,
9.12,CO,SDE,FTE,Full-time,M,NXP Semiconductors,Travel,,22.6,,,
8.92,IT,SDE,FTE,Full-time,M,NXP Semiconductors,Travel,,22.6,,,
9.22,SE,SDE,FTE,Full-time,M,NXP Semiconductors,Travel,,22.6,,,
9.46,CO,SDE,6M + PPO,PPO,F,MakeMyTrip,Travel,50,22,"50K pm
22 lpa",10,
8.7,CO,SDE,6M + PPO,PPO,M,MakeMyTrip,Travel,50,22,,,
7.29,CO,SDE,6M + PPO,PPO,M,MakeMyTrip,Travel,50,22,,,
8.55,CO,SDE,6M + PPO,PPO,M,MakeMyTrip,Travel,50,22,,,
8.38,CO,SDE,6M + PPO,PPO,M,MakeMyTrip,Travel,50,22,,,
9.34,CO,SDE,6M + PPO,PPO,M,MakeMyTrip,Travel,50,22,,,
No data,CO,SDE,6M + PPO,PPO,M,MakeMyTrip,Travel,50,22,,,
8.71,CO,SDE,6M + PPO,PPO,M,MakeMyTrip,Travel,50,22,,,
8.4,IT,SDE,6M + PPO,PPO,M,MakeMyTrip,Travel,50,22,,,
9.24,IT,SDE,6M + PPO,PPO,M,MakeMyTrip,Travel,50,22,,,
9.45,CO,SDE,6M + FTE,6M+FTE,M,IXIGO,Education Technology,,22,15+7 lpa,4,
8.39,SE,SDE,6M + FTE,6M+FTE,M,IXIGO,Education Technology,,22,,,
8.38,MCE,SDE,6M + FTE,6M+FTE,M,IXIGO,Education Technology,,22,,,
8.45,MCE,SDE,6M + FTE,6M+FTE,M,IXIGO,Education Technology,,22,,,
6.82,CO,Analyst,6M + PPO,PPO,M,AlgoUniversity,Human Capital Management,30,22,10 - 22 lpa,1,
9.32,CO,SDE,6M + PPO,PPO,M,United Kronos Group (UKG),Financial Services,50,21.6,"15.1 - 21.6 lpa
(performance based)",2,
8.34,ECE,SDE,6M + PPO,PPO,F,United Kronos Group (UKG),Financial Services,50,21.6,,,
8.66,MCE,Analyst,6M + FTE,6M+FTE,M,United Kronos Group (UKG),Financial Services,,21,21 lpa,2,Product Analyst
9.07,ECE,Analyst,6M + FTE,6M+FTE,M,United Kronos Group (UKG),Financial Services,,21,,,
8.64,CO,Analyst,6M + FTE,6M+FTE,M,United Kronos Group (UKG),Financial Services,70,21,"21 lpa
(13 lpa base)",5,Business Analyst
8.34,IT,Analyst,6M + FTE,6M+FTE,M,United Kronos Group (UKG),Financial Services,70,21,,,
9.13,EE,Analyst,6M + FTE,6M+FTE,M,United Kronos Group (UKG),Financial Services,70,21,,,
8.86,EP,Analyst,6M + FTE,6M+FTE,M,United Kronos Group (UKG),Financial Services,70,21,,,
8.79,CH,Analyst,6M + FTE,6M+FTE,M,United Kronos Group (UKG),Financial Services,70,21,,,
8.3,CO,SDE,PPO,PPO,M,BNY Mellon,Financial Services,,21,21 lpa,5,
9.19,CO,SDE,PPO,PPO,M,BNY Mellon,Financial Services,,21,,,
8.81,IT,SDE,PPO,PPO,M,BNY Mellon,Financial Services,,21,,,
9.47,SE,SDE,PPO,PPO,M,BNY Mellon,Financial Services,,21,,,
No data,EE,SDE,PPO,PPO,M,BNY Mellon,Financial Services,,21,,,
8.56,CO,Analyst,6M + PPO,PPO,M,JPMC,Oil & Gas,75,20.85,"75K pm + 1L relocation
 
20.85 lpa ",12,Banking Analyst
8.83,CO,Analyst,6M + PPO,PPO,F,JPMC,Oil & Gas,75,20.85,,,
8.36,ME,Analyst,6M + PPO,PPO,M,JPMC,Oil & Gas,75,20.85,,,
8.54,ME,Analyst,6M + PPO,PPO,M,JPMC,Oil & Gas,75,20.85,,,
